レシート番号,支店,性別,年代,曜日,日付,時刻,時間帯,金額,購入商品
R0001,中央区,女性,30代,金,2024/10/10,12:53,昼,1428,野菜ジュース 栄養ドリンク ヨーグルト フルーツ
R0002,中央区,女性,10代,金,2024/09/25,15:55,昼,556,肉まん カップ麺
R0003,中央区,男性,30代,土,2024/11/10,14:17,昼,334,サラダ 野菜ジュース
R0004,中央区,女性,40代,日,2024/01/26,07:24,朝,463,おにぎり パン
R0005,中央区,女性,20代,火,2024/11/08,10:51,朝,605,冷凍食品 カップ麺 コーヒー
R0006,中央区,男性,10代,月,2024/12/19,07:40,朝,660,おにぎり 卵 パン トイレットペーパー
R0007,中央区,女性,60代以上,土,2024/01/18,18:03,夜,558,フルーツ ヨーグルト サラダ 野菜ジュース
R0008,中央区,男性,10代,日,2024/05/27,14:12,昼,923,フルーツ ヨーグルト 野菜ジュース
R0009,中央区,男性,60代以上,金,2024/08/21,15:57,昼,198,フルーツ
R0010,中央区,女性,30代,水,2024/10/05,13:05,昼,268,お茶
R0011,中央区,男性,20代,月,2024/10/23,22:05,夜,604,コーヒー お茶
R0012,中央区,男性,40代,日,2024/08/05,12:32,昼,658,栄養ドリンク 野菜ジュース サラダ
R0013,中央区,男性,40代,日,2024/01/28,11:46,昼,1021,お茶 ジュース コーヒー サンドイッチ ポテトチップス
R0014,中央区,男性,50代,水,2024/08/22,16:00,昼,1200,おにぎり 卵 牛乳 パン
R0015,中央区,女性,60代以上,水,2024/01/08,09:28,朝,590,卵 パン
R0016,中央区,女性,40代,月,2024/07/04,14:53,昼,733,サラダ 野菜ジュース フルーツ ヨーグルト
R0017,中央区,女性,30代,月,2024/09/05,21:29,夜,1019,ヨーグルト 野菜ジュース チョコレート
R0018,中央区,女性,10代,月,2024/10/02,11:31,昼,295,ジュース
R0019,中央区,男性,20代,火,2024/01/23,22:09,夜,857,栄養ドリンク サラダ フルーツ ヨーグルト
R0020,中央区,男性,10代,水,2024/09/04,19:21,夜,876,ティッシュ 洗剤 シャンプー トイレットペーパー
R0021,中央区,男性,20代,火,2024/01/24,22:31,夜,869,おにぎり トイレットペーパー
R0022,中央区,女性,40代,土,2024/12/31,07:32,朝,322,ヨーグルト
R0023,中央区,男性,10代,木,2024/05/27,22:58,夜,724,サンドイッチ お茶
